GridID,Q_Solved,Q_Steps,Q_Reward,A_Solved,A_Steps,Outcome_Match
1,True,9,1,True,9,True
2,False,2,0,False,0,True
3,True,8,1,True,8,True
4,True,7,1,True,7,True
5,False,2,0,False,0,True
6,True,10,1,True,10,True
7,True,9,1,True,9,True
8,True,7,1,True,7,True
9,True,7,1,True,7,True
10,True,9,1,True,9,True
11,True,9,1,True,9,True
12,True,8,1,True,8,True
13,True,9,1,True,9,True
14,True,9,1,True,9,True
15,True,7,1,True,7,True
16,True,9,1,False,0,False
17,True,7,1,True,7,True
18,True,8,1,True,8,True
19,True,9,1,False,0,False
20,True,8,1,True,8,True
21,True,7,1,True,7,True
22,True,8,1,True,8,True
23,True,13,1,True,13,True
24,True,8,1,True,8,True
25,True,7,1,True,7,True
26,True,7,1,True,7,True
27,True,10,1,True,10,True
28,True,8,1,True,8,True
29,True,7,1,True,7,True
30,True,7,1,True,7,True
31,False,6,0,False,0,True
32,True,8,1,True,8,True
33,True,7,1,True,7,True
34,True,8,1,True,8,True
35,True,7,1,True,7,True
36,True,7,1,True,7,True
37,True,8,1,True,8,True
38,True,8,1,True,8,True
39,True,11,1,True,11,True
40,True,7,1,True,7,True
41,True,12,1,True,12,True
42,False,2,0,False,0,True
43,True,7,1,True,7,True
44,True,9,1,True,9,True
45,True,8,1,True,8,True
46,True,7,1,True,7,True
47,False,2,0,False,0,True
48,True,7,1,True,7,True
49,True,7,1,True,7,True
50,False,4,0,False,0,True
51,True,7,1,True,7,True
52,True,7,1,False,0,False
53,True,8,1,True,8,True
54,False,3,0,False,0,True
55,True,7,1,True,7,True
56,True,9,1,True,9,True
57,False,6,0,False,0,True
58,True,8,1,True,8,True
59,True,13,1,True,13,True
60,True,11,1,True,11,True
61,False,2,0,False,0,True
62,True,11,1,True,11,True
63,True,8,1,True,8,True
64,True,10,1,True,10,True
65,True,9,1,True,9,True
66,True,11,1,True,11,True
67,False,4,0,False,0,True
68,True,8,1,True,8,True
69,True,9,1,True,9,True
70,True,7,1,True,7,True
71,True,11,1,True,11,True
72,True,10,1,True,10,True
73,True,7,1,True,7,True
74,True,8,1,True,8,True
75,False,1,0,False,0,True
76,True,8,1,True,8,True
77,True,7,1,True,7,True
78,True,8,1,True,8,True
79,True,8,1,True,8,True
80,True,7,1,True,7,True
81,True,7,1,True,7,True
82,True,7,1,True,7,True
83,True,7,1,True,7,True
84,True,7,1,True,7,True
85,True,7,1,True,7,True
86,True,8,1,True,8,True
87,True,11,1,True,11,True
88,True,7,1,True,7,True
89,True,9,1,True,9,True
90,True,7,1,True,7,True
91,True,8,1,True,8,True
92,True,7,1,True,7,True
93,True,9,1,True,9,True
94,True,7,1,True,7,True
95,True,8,1,True,8,True
96,True,7,1,True,7,True
97,True,7,1,True,7,True
98,True,9,1,True,9,True
99,True,7,1,True,7,True
100,True,7,1,True,7,True
